Adam Lowe,alowe,england,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
alowe,Power Smile,2001,English,Pocko Editions,London,England,london_ldn_england,Fiction (Novel),n,96,
alowe,Noise,2003,English,Kettle's Yard Gallery,Cambridge,England,cambridge_england,Fiction (Novel),n,118,
alowe,Polluto 3: Sex in the Time of VHS,2008,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,96,
alowe,Polluto 4: Queer and Loathing in Wonderland,2008,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,144,
alowe,Polluto: Post-Natal Depression and the Mysterons,2008,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,84,
alowe,Anish Kapoor,2009,English,Turner Publishing Company,"Nashville, TN",United States,nashville_tn_united states,Fiction (Novel),n,254,
alowe,Troglodyte Rose,2009,English,Cadaverine Magazine,Leeds,England,leeds_england,Fiction (Novel),n,200,
alowe,Polluto 6: Identity Theft & The Octopus Kid,2010,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,144,
alowe,Polluto 7: Open-Themed Issue,2011,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,180,
alowe,Polluto 8: In Space No One Can Hear You Dream,2011,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,152,
alowe,Lavenderblack,2011,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Poetry Collection,n,60,
alowe,Precocious,2012,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Poetry Collection,n,32,
alowe,"Bite Me, Robot Boy",2012,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,254,
alowe,Monster,2013,English,Dead Ink Books,Liverpool,England,liverpool_england,Fiction (Novel),n,37,
alowe,Spoke: New Queer Voices,2015,English,Dog Horn Publishing,Kirklees,England,kirklees_england,Anthology,n,128,
