Olive Senior,osenior,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
osenior,18th International Conference On Parallel Processing.,1989,English,John Wiley,"Hoboken, NJ",United States,hoboken_nj_united¬†states,NA,n,NA,
osenior,A - Z Of Jamaican Heritage,1983,English,Heineman,London,England,london_ldn_england,Nonfiction Book,n,NA,
osenior,A - Z Of Jamaican Heritage,1988,English,Heineman,London,England,london_ldn_england,Nonfiction Book,n,NA,
osenior,Talking Of Trees,1985,English,Calabash,Mona,Jamaica,mona_jamaica,Poetry Collection,n,86,
osenior,Summer Lightning And Other Stories,1986,English,Longman Inc.,London,England,london_ldn_england,Fiction (Short Story Collection),n,134,1986
osenior,Summer Lightning And Other Stories,1990,English,Longman Inc.,London,England,london_ldn_england,Fiction (Short Story Collection),n,134,1986
osenior,Arrival Of The Snake-Woman: And Other Stories,1989,English,Longman Inc.,London,England,london_ldn_england,Fiction (Short Story Collection),n,152,1989
osenior,Arrival Of The Snake-Woman: And Other Stories,1990,English,Longman Inc.,London,England,london_ldn_england,Fiction (Short Story Collection),n,NA,1989
osenior,Pepperpot: Best New Stories From The Caribbean,2014,English,Peekash Press,Leeds,England,leeds_england,Fiction (Short Story Collection),n,190,
osenior,Dying To Better Themselves: West Indians And The Building Of The Panama Canal,2014,English,University of The West Indies Press,Mona,Jamaica,mona_jamaica,Nonfiction Book,n,416,
osenior,Gardening in the Tropics,2005,English,Insomniac Press,Ontario,Canada,ontario_canada,Poetry Collection,n,139,
osenior,The Pain Tree,2015,English,Cormorant Books,"Markham, ON",Canada,markham_on_canada,Fiction (Short Story Collection),n,320,
osenior,Anna Carries Water,2014,English,Tradewind Books,Vancouver,Canada,vancouver_bc_canada,Fiction (Novella),n,40,
osenior,Pandemic Poems: First Wave,2021,English,Olive Senior,Toronto,Canada,toronto_canada,Poetry Collection,n,110,
osenior,Arrival of the Snake-Woman and Other Stories,2009,English,TSAR Publications,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,169,1989
osenior,Over the Roofs of the World,2005,English,Insomniac Press,Ontario,Canada,ontario_canada,Poetry Collection,n,110,
osenior,Boonoonoonous Hair,2019,English,Tradewind Books,Vancouver,Canada,vancouver_bc_canada,Fiction (Novella),n,32,
osenior,The Encyclopedia of Jamaican Heritage,2003,English,Twin Guinep Publishers Ltd,Kingston,Jamaica,kingston_jamaica,Nonfiction Book,n,580,
osenior,Dancing Lessons,2011,English,Cormorant Books,"Markham, ON",Canada,markham_on_canada,Fiction (Novel),n,384,
osenior,Birthday Suit,2012,English,Annick Press,Toronto,Canada,toronto_canada,Fiction (Novella),n,30,
osenior,Discerner of Hearts,1995,English,McClelland & Stewart,Toronto,Canada,toronto__canada,Fiction (Short Story Collection),n,218,
osenior,Hurricane Watch: New and Collected Poems,2022,English,Carcanet Press,Manchester,England,manchester_england,Poetry Collection,n,456,
osenior,Working Miracles: Women's Lives in the English-speaking Caribbean,1992,English,Indiana University Press,"Bloomington, IN",United States,bloomington_in_united_states,Nonfiction Book,n,210,
osenior,Un Pipiri m'a Dit,2014,French,Le Castor Astral,Bègles,France,,Poetry Collection,y,256,
osenior,Shell,2007,English,Insomniac Press,Ontario,Canada,ontario_canada,Poetry Collection,n,100,
